体	軆/體
写	冩/寫
冴	冱/沍
厩	廏/廐
叙	敍/敘
噛	啮/嚙
学	學/斈
宝	寳/寶
帰	歸/皈
庁	廰/廳
弁	辨/辯
弐	貮/貳
径	徑/逕
従	从/從
挙	擧/舉
渋	澀/澁
潜	潛/濳
煕	熈/熙
畳	疂/疉/疊
繊	纎/纖
羈	羇/覊
遡	泝/溯
鉄	鐡/鐵
鉱	礦/鑛
闘	鬪/鬭
雑	襍/雜
駆	駈/驅
髄	膸/髓
万	萬
与	與
両	兩
並	竝
乗	乘
乱	亂
亀	龜
予	豫
争	爭
亘	亙
亜	亞
仏	佛
仞	仭
仮	假
会	會
伝	傳
佇	竚
余	餘
併	倂
侠	俠
価	價
侭	儘
俎	爼
倦	劵
倹	儉
偽	僞
働	仂
僭	僣
兎	兔
児	兒
党	黨
円	圓
冊	册
冒	冐
冤	寃
冪	羃
冽	洌
処	處
函	凾
刃	刄
刊	刋
券	劵
剋	尅
剣	劍
剤	劑
剥	剝
剰	剩
劫	刧
励	勵
労	勞
効	效
勅	敕
勧	勸
勲	勳
区	區
医	醫
卍	卐
卒	卆
協	恊
単	單
卮	巵
即	卽
却	卻
厘	釐
厦	廈
厨	廚
厳	嚴
参	參
双	雙
収	收
台	臺
叱	𠮟
号	號
呪	咒
唇	脣
唖	啞
啖	啗
喀	咯
善	譱
喜	憙
営	營
嘘	噓
嘩	譁
嘱	囑
器	噐
噪	譟
嚢	囊
団	團
囲	圍
図	圖
国	國
圏	圈
圧	壓
址	阯
垂	埀
堕	墮
場	塲
堺	畍
塁	壘
塩	鹽
填	塡
増	增
壊	壞
壌	壤
壮	壯
声	聲
壱	壹
売	賣
壷	壺
変	變
夢	梦
奇	竒
奥	奧
奨	奬
妊	姙
婿	壻
嬢	孃
実	實
寇	冦
寛	寬
寝	寢
対	對
寿	壽
専	專
将	將
尭	堯
尽	盡
届	屆
屏	屛
属	屬
岩	嵒
岳	嶽
峡	峽
峨	峩
崖	崕
崙	崘
嵌	篏
嵯	嵳
巌	巖
巣	巢
巻	卷
帯	帶
幣	幤
并	幷
広	廣
廃	廢
廠	厰
廻	迴
廼	迺
弥	彌
弯	彎
弾	彈
当	當
往	徃
徳	德
徴	徵
応	應
怪	恠
恋	戀
恒	恆
恥	耻
恵	惠
悩	惱
悪	惡
惨	慘
慎	愼
憩	憇
懐	懷
懺	懴
戦	戰
戯	戲
戻	戾
払	拂
抜	拔
択	擇
担	擔
拝	拜
拠	據
拡	擴
拿	拏
挟	挾
挿	插
捜	搜
掲	揭
掻	搔
揺	搖
携	攜
摂	攝
撃	擊
撹	攪
数	數
斉	齊
斎	齋
断	斷
旗	籏
旧	舊
昼	晝
晃	晄
晋	晉
晩	晚
暁	曉
暦	曆
曖	瞹
曠	昿
曳	曵
曽	曾
朗	朖
期	朞
本	夲
条	條
来	來
松	枩
枢	樞
栃	杤
栄	榮
桜	櫻
桟	棧
桧	檜
梼	檮
棋	棊
棕	椶
検	檢
楕	橢
楼	樓
楽	樂
概	槪
様	樣
槨	椁
権	權
横	橫
檪	櫟
欠	缺
欧	歐
歌	謌
歓	歡
歩	步
歯	齒
歴	歷
残	殘
殲	殱
殴	毆
殻	殼
毎	每
気	氣
決	决
没	沒
沢	澤
況	况
浄	淨
浅	淺
浜	濱
浣	澣
涙	淚
涛	濤
涜	瀆
涸	凅
淫	婬
淵	渊
渇	渴
済	濟
渉	涉
渓	溪
渕	渊
温	溫
湾	灣
湿	濕
満	滿
溌	潑
準	凖
溜	澑
滝	瀧
滞	滯
潅	灌
潴	瀦
澄	澂
瀬	瀨
灯	燈
炉	爐
炯	烱
点	點
為	爲
焔	焰
焼	燒
煙	烟
熔	鎔
燻	熏
爾	尓
犠	犧
状	狀
独	獨
狭	狹
猊	貎
猟	獵
猪	豬
献	獻
獣	獸
瑠	璢
瓔	珱
瓶	甁
町	甼
画	畫
界	畍
留	畄
畝	畆
疇	畴
疎	踈
疣	肬
疱	靤
痳	痲
痴	癡
癒	瘉
発	發
皐	皋
盗	盜
盪	蘯
県	縣
真	眞
睾	皋
瞭	暸
研	硏
砕	碎
砧	碪
砿	礦
礼	禮
祢	禰
祷	禱
禄	祿
禅	禪
秘	祕
称	稱
稚	穉
稲	稻
稿	稾
穂	穗
穏	穩
穐	龝
穣	穰
窃	竊
窓	窗
窯	窰
竜	龍
竪	豎
競	竸
筍	笋
筐	筺
筝	箏
箆	篦
箋	牋
箟	箘
箪	簞
範	笵
篭	籠
籐	籘
籤	籖
粋	粹
粛	肅
粥	鬻
糧	粮
糸	絲
紙	帋
経	經
絵	繪
継	繼
続	續
綿	緜
総	總
緑	綠
緒	緖
線	綫
縁	緣
縄	繩
縦	縱
繋	繫
繍	繡
纏	纒
缶	罐
罰	罸
羹	羮
翠	翆
翻	飜
耕	畊
聟	壻
聯	聨
聴	聽
胆	膽
脈	脉
脳	腦
腸	膓
臓	臟
舗	舖
舵	柁
艶	艷
芦	蘆
芸	藝
芻	蒭
苺	莓
茎	莖
荘	莊
莱	萊
莵	兔
菟	兔
萌	萠
蒋	蔣
蓋	盖
蓑	簔
蔵	藏
蕊	蕋
薫	薰
薬	藥
薮	藪
薯	藷
藁	稾
蘂	蕋
蘇	蘓
蘊	薀
虚	虛
虫	蟲
虱	蝨
蚕	蠶
蛍	螢
蛎	蠣
蛮	蠻
蝉	蟬
蝋	蠟
蝿	蠅
蟇	蟆
蠧	蠹
衂	衄
衛	衞
衽	袵
装	裝
褒	襃
覇	霸
覚	覺
覧	覽
覩	睹
観	觀
触	觸
訛	譌
訳	譯
証	證
詠	咏
誉	譽
読	讀
諌	諫
諡	謚
謡	謠
譲	讓
讐	讎
豆	荳
豊	豐
豺	犲
豼	貔
財	戝
賊	戝
賎	賤
賛	贊
質	貭
贓	賍
走	赱
践	踐
踊	踴
踪	蹤
蹠	跖
躙	躔
躯	軀
躰	軆
転	轉
軽	輕
轟	軣
轢	轣
辞	辭
辺	邊
迩	邇
迪	廸
逃	迯
逓	遞
遅	遲
達	逹
郎	郞
郷	鄕
酔	醉
醗	醱
醤	醬
醸	釀
釈	釋
釜	釡
銕	鐡
銭	錢
鋪	舖
鋳	鑄
錬	鍊
録	錄
鎮	鎭
鐸	鈬
鑽	鑚
閉	閇
関	關
闊	濶
陥	陷
険	險
随	隨
隠	隱
隣	鄰
隷	隸
雁	鳫
霊	靈
静	靜
靭	靱
韻	韵
頚	頸
頬	頰
頴	穎
頼	賴
顔	顏
顕	顯
顛	顚
飄	飃
